Sample_Name	Description	Size	1
DRR089772	marine metagenome	145704	2
ERR1103295	seawater metagenome	83610	2
ERR1360104	marine sediment metagenome	45322	1
ERR1519018	metagenome	43084	1
ERR1726519	Hyphochytrium catenoides	88805	1
ERR2016806	metagenome	624802	1
ERR2016822	metagenome	198144	1
ERR2016823	metagenome	323945	2
ERR2016824	metagenome	439628	3
ERR2016835	metagenome	101526	1
ERR2098542	marine metagenome	654547	1
ERR2098594	marine metagenome	378909	1
ERR2196989	marine metagenome	504712	1
ERR867911	marine metagenome	21583	1
SRR1144455	coral metagenome	3627	59
SRR1144461	coral metagenome	1799	27
SRR1144475	coral metagenome	1694	78
SRR1144479	coral metagenome	1145	41
SRR1144484	coral metagenome	771	7
SRR1144487	coral metagenome	1209	2
SRR1659044	mollusc metagenome	3321	1
SRR1663423	coral metagenome	157603	1
SRR1734292	beach sand metagenome	98128	1
SRR1812952	coral metagenome	73672	792
SRR1812962	coral metagenome	87119	119
SRR1812977	coral metagenome	37855	162
SRR1812978	coral metagenome	107596	1803
SRR1812979	coral metagenome	23082	74
SRR1812980	coral metagenome	67198	2675
SRR1812993	coral metagenome	437054	1
SRR1813100	coral metagenome	88305	4
SRR1813103	coral metagenome	135350	32
SRR1813104	coral metagenome	88960	1
SRR1813114	coral metagenome	60369	1
SRR1814153	coral metagenome	98243	1
SRR1814155	coral metagenome	134882	1
SRR1814160	coral metagenome	87370	66
SRR1814161	coral metagenome	87054	54
SRR1814162	coral metagenome	8304	24
SRR1814163	coral metagenome	83387	61
SRR1816874	coral metagenome	49950	104
SRR1818476	coral metagenome	39060	86
SRR1818477	coral metagenome	12407	42
SRR1818479	coral metagenome	57340	223
SRR1818482	coral metagenome	88058	14
SRR1818489	coral metagenome	81679	134
SRR1818602	coral metagenome	45188	61
SRR1818603	coral metagenome	18657	1
SRR1818682	coral metagenome	45717	24
SRR1818690	coral metagenome	82944	269
SRR1818692	coral metagenome	62809	1
SRR1818693	coral metagenome	74921	156
SRR1818717	coral metagenome	63300	2
SRR1819155	coral metagenome	49705	45
SRR1819171	coral metagenome	15180	93
SRR1819172	coral metagenome	22092	482
SRR1819173	coral metagenome	3927	606
SRR1819178	coral metagenome	27591	949
SRR1819182	coral metagenome	37272	909
SRR1819183	coral metagenome	42395	354
SRR1819186	coral metagenome	41228	114
SRR1819187	coral metagenome	15639	234
SRR1819188	coral metagenome	49330	67
SRR1819190	coral metagenome	43453	187
SRR1819191	coral metagenome	28422	621
SRR1819620	coral metagenome	11008	317
SRR1819623	coral metagenome	22646	3
SRR1819628	coral metagenome	75898	29
SRR1819631	coral metagenome	23459	832
SRR1819634	coral metagenome	12959	364
SRR1819645	coral metagenome	63852	11
SRR1819647	coral metagenome	75439	17
SRR1819648	coral metagenome	67498	1
SRR1819655	coral metagenome	100993	20
SRR1819656	coral metagenome	94265	25
SRR1819724	seawater metagenome	99676	2
SRR1819729	seawater metagenome	265125	1
SRR1819743	seawater metagenome	184764	1
SRR1819757	seawater metagenome	46373	4
SRR1825375	activated sludge metagenome	64217	2
SRR1923171	soil metagenome	106676	5
SRR1923177	soil metagenome	145898	1
SRR1927839	seawater metagenome	30508	2
SRR1927865	seawater metagenome	33386	1
SRR1927866	seawater metagenome	16526	1
SRR1927875	seawater metagenome	25728	1
SRR1927881	seawater metagenome	53317	8
SRR1927887	seawater metagenome	22455	1
SRR1992871	coral metagenome	46997	1614
SRR1992872	coral metagenome	36429	5
SRR1992873	coral metagenome	50579	238
SRR1992874	coral metagenome	34889	532
SRR1992876	coral metagenome	23724	82
SRR1992877	coral metagenome	21649	238
SRR1992878	coral metagenome	11215	2395
SRR1992879	coral metagenome	19775	16
SRR1992880	coral metagenome	70059	37
SRR1992881	coral metagenome	29013	24
SRR1992882	coral metagenome	35643	539
SRR1992883	coral metagenome	26533	169
SRR1992884	coral metagenome	40908	5
SRR1992885	coral metagenome	22439	691
SRR1992886	coral metagenome	10279	64
SRR1992887	coral metagenome	63144	1920
SRR1992888	coral metagenome	46364	715
SRR1992889	coral metagenome	58317	6631
SRR1992890	coral metagenome	49415	35
SRR1992891	coral metagenome	59086	26
SRR1992892	coral metagenome	54667	55
SRR1992893	coral metagenome	56671	1762
SRR1992894	coral metagenome	34621	104
SRR1992895	coral metagenome	42024	3519
SRR1992896	coral metagenome	41179	7
SRR1992897	coral metagenome	34244	157
SRR1992898	coral metagenome	47860	1716
SRR1992899	coral metagenome	41558	4
SRR1992900	coral metagenome	36476	1144
SRR1992901	coral metagenome	18348	313
SRR1992902	coral metagenome	11949	14
SRR1992903	coral metagenome	107669	5
SRR1992904	coral metagenome	18328	2249
SRR1992905	coral metagenome	29572	614
SRR1992906	coral metagenome	12422	424
SRR1992907	coral metagenome	28327	3
SRR1992908	coral metagenome	15721	2
SRR1992909	coral metagenome	14749	1
SRR1992910	coral metagenome	30222	32
SRR1992911	coral metagenome	30399	4
SRR1992912	coral metagenome	14368	57
SRR1992913	coral metagenome	20527	8
SRR1992914	coral metagenome	37515	413
SRR1992915	coral metagenome	88083	9
SRR1992916	coral metagenome	36895	600
SRR1992917	coral metagenome	20834	20
SRR1992918	coral metagenome	36770	1
SRR1992919	coral metagenome	18631	3
SRR1992920	coral metagenome	14466	48
SRR1992921	coral metagenome	13544	108
SRR1992922	coral metagenome	34876	4
SRR1992923	coral metagenome	14300	1
SRR1992924	coral metagenome	9390	241
SRR1992925	coral metagenome	22384	244
SRR1992926	coral metagenome	41500	600
SRR1992927	coral metagenome	38481	8515
SRR1992928	coral metagenome	37349	7018
SRR1992929	coral metagenome	58595	14
SRR1992931	coral metagenome	15765	985
SRR1992932	coral metagenome	36126	4075
SRR1992933	coral metagenome	10141	55
SRR1992934	coral metagenome	26984	18
SRR1992935	coral metagenome	17851	91
SRR1992936	coral metagenome	36297	37
SRR1992937	coral metagenome	25275	1762
SRR1992938	coral metagenome	17736	1796
SRR1992939	coral metagenome	56334	8
SRR1992941	coral metagenome	26162	127
SRR1992942	coral metagenome	29049	48
SRR1992943	coral metagenome	40485	891
SRR1992944	coral metagenome	45528	2960
SRR1992945	coral metagenome	55082	71
SRR1992947	coral metagenome	34678	1513
SRR1992948	coral metagenome	33158	13
SRR1992949	coral metagenome	49771	676
SRR1992950	coral metagenome	49275	45
SRR1992952	coral metagenome	53991	33
SRR1992953	coral metagenome	35800	12
SRR1992954	coral metagenome	53091	595
SRR1992955	coral metagenome	29733	3144
SRR1992956	coral metagenome	22202	10224
SRR1992957	coral metagenome	24169	3037
SRR1992958	coral metagenome	35130	3395
SRR1992959	coral metagenome	34034	4837
SRR1992960	coral metagenome	48095	18636
SRR1992961	coral metagenome	77640	143
SRR1992962	coral metagenome	46572	1819
SRR1992963	coral metagenome	66069	73
SRR1992964	coral metagenome	22602	10559
SRR1992965	coral metagenome	20328	2981
SRR1992966	coral metagenome	33399	514
SRR1992967	coral metagenome	50486	3
SRR1992968	coral metagenome	22122	753
SRR1992969	coral metagenome	41340	5506
SRR1992970	coral metagenome	67684	120
SRR1992971	coral metagenome	38291	811
SRR1992972	coral metagenome	54174	5055
SRR1992973	coral metagenome	45372	565
SRR1992974	coral metagenome	65453	4895
SRR1992975	coral metagenome	102900	3012
SRR1992976	coral metagenome	94558	441
SRR1992977	coral metagenome	83774	1080
SRR1992978	coral metagenome	58166	1550
SRR1992979	coral metagenome	105737	5
SRR1992980	coral metagenome	108727	1584
SRR1992981	coral metagenome	69757	469
SRR1992982	coral metagenome	41364	5911
SRR1992983	coral metagenome	94860	25
SRR1992984	coral metagenome	95268	14
SRR1992985	coral metagenome	70854	342
SRR1992986	coral metagenome	51145	13449
SRR1992987	coral metagenome	63095	2065
SRR1992988	coral metagenome	57341	68
SRR1992989	coral metagenome	30325	1082
SRR1992990	coral metagenome	39830	237
SRR1992991	coral metagenome	67329	145
SRR1992992	coral metagenome	58129	1707
SRR1992993	coral metagenome	53071	977
SRR1992994	coral metagenome	65963	744
SRR1992995	coral metagenome	72904	12547
SRR1992996	coral metagenome	37720	2308
SRR1992998	marine metagenome	46153	1
SRR1992999	marine metagenome	38617	3
SRR1993002	marine metagenome	71560	1
SRR1993006	marine metagenome	64810	1
SRR1993013	marine metagenome	61644	1
SRR1993020	marine metagenome	43215	2
SRR1993021	marine metagenome	51583	1
SRR1994878	Schizothorax zarudnyi	995645	555
SRR2004054	soil metagenome	64105	2
SRR2004055	soil metagenome	95823	1
SRR2004063	activated sludge metagenome	35626	1
SRR2040984	aquatic metagenome	363995	2
SRR2075958	fish gut metagenome	2068844	1
SRR2075959	fish gut metagenome	3338734	1
SRR2239793	fish gut metagenome	9493	5
SRR2622048	coral metagenome	136478	1
SRR2622335	coral metagenome	157308	1
SRR2975944	marine metagenome	477082	2
SRR3104444	soil metagenome	364992	4
SRR3125007	coral metagenome	152378	4
SRR3125090	coral metagenome	131996	102
SRR3125092	coral metagenome	110400	63
SRR3125095	coral metagenome	117991	120
SRR3125098	coral metagenome	104924	22
SRR3125126	coral metagenome	153414	2
SRR3125136	coral metagenome	130859	14
SRR3125145	coral metagenome	140689	30
SRR3145838	coral metagenome	8896	7
SRR3145839	coral metagenome	8320	44
SRR3145841	coral metagenome	7110	9
SRR3145842	coral metagenome	11176	36
SRR3145848	coral metagenome	3948	111
SRR3145875	coral metagenome	5593	11
SRR3145879	coral metagenome	4751	2
SRR3145881	coral metagenome	7312	1
SRR3145898	coral metagenome	8209	1
SRR3145903	coral metagenome	6823	5
SRR3145904	coral metagenome	7594	9
SRR3145907	coral metagenome	5115	1
SRR3145908	coral metagenome	3472	2
SRR3145909	coral metagenome	6304	4
SRR3145913	coral metagenome	1493	3
SRR3145924	coral metagenome	6301	1
SRR3145931	coral metagenome	8033	2
SRR3145932	coral metagenome	7908	7
SRR3145941	coral metagenome	12429	62
SRR3145944	coral metagenome	6030	1396
SRR3145946	coral metagenome	7296	1
SRR3145947	coral metagenome	4740	3
SRR3145948	coral metagenome	7361	18
SRR3145953	coral metagenome	8903	41
SRR3180802	coral metagenome	92946	106
SRR3184415	seawater metagenome	35399	14
SRR3184416	seawater metagenome	39844	2
SRR3184417	seawater metagenome	33526	5
SRR3184418	seawater metagenome	21879	18
SRR3184419	seawater metagenome	13661	1
SRR3184420	seawater metagenome	13972	5
SRR3184422	seawater metagenome	26879	4
SRR3184425	seawater metagenome	18838	2
SRR3184427	seawater metagenome	26667	8
SRR3184428	seawater metagenome	38733	4
SRR3184434	seawater metagenome	24716	2
SRR3184435	seawater metagenome	28206	3
SRR3184448	coral metagenome	27107	34
SRR3184449	coral metagenome	58094	162
SRR3184450	coral metagenome	30739	408
SRR3184451	coral metagenome	27688	2
SRR3184452	coral metagenome	25512	15
SRR3184453	coral metagenome	24108	49
SRR3184454	coral metagenome	26868	3
SRR3184459	coral metagenome	17317	9
SRR3184461	coral metagenome	26291	11
SRR3184462	coral metagenome	32756	5
SRR3184464	coral metagenome	19423	6
SRR3184465	coral metagenome	27947	5
SRR3184466	coral metagenome	23270	1
SRR3184468	coral metagenome	32907	2
SRR3184470	coral metagenome	29634	5
SRR3184474	coral metagenome	32244	169
SRR3184475	coral metagenome	26700	13
SRR3184476	coral metagenome	27552	12
SRR3184478	coral metagenome	23680	3
SRR3184479	coral metagenome	25451	44
SRR3184480	coral metagenome	32539	88
SRR3184481	coral metagenome	28087	88
SRR3184482	coral metagenome	20235	16
SRR3184483	coral metagenome	46895	27
SRR3184484	coral metagenome	13060	12
SRR3184485	coral metagenome	13623	11
SRR3204408	coral metagenome	1292	185
SRR3204410	coral metagenome	55908	5
SRR3204411	coral metagenome	109426	2
SRR3204412	coral metagenome	46958	1
SRR3204413	coral metagenome	37458	4
SRR3204415	coral metagenome	44121	22
SRR3204416	coral metagenome	35227	2
SRR3204419	coral metagenome	86062	55
SRR3204421	coral metagenome	56867	114
SRR3204422	coral metagenome	83157	71
SRR3204423	coral metagenome	519	114
SRR3204424	coral metagenome	1057	230
SRR3204425	coral metagenome	1023	82
SRR3204427	coral metagenome	3224	36
SRR3204428	coral metagenome	46113	4
SRR3204429	coral metagenome	56189	2
SRR3204432	coral metagenome	5520	2494
SRR3204433	coral metagenome	27946	79
SRR3204434	coral metagenome	93747	4
SRR3204435	coral metagenome	99140	16
SRR3204437	coral metagenome	50501	33
SRR3204438	coral metagenome	51756	5
SRR3204439	coral metagenome	69148	1
SRR3204440	coral metagenome	59834	7
SRR3204441	coral metagenome	70813	20
SRR3204442	coral metagenome	9806	186
SRR3204443	coral metagenome	5809	3840
SRR3204444	coral metagenome	38562	1873
SRR3204445	coral metagenome	22068	615
SRR3204446	coral metagenome	15454	7
SRR3204447	coral metagenome	16607	17
SRR3204448	coral metagenome	53035	2
SRR3204449	coral metagenome	75161	50
SRR3204450	coral metagenome	88748	19
SRR3204451	coral metagenome	108422	92
SRR3204452	coral metagenome	167863	144
SRR3204453	coral metagenome	92603	4
SRR3204454	coral metagenome	105934	4
SRR3204455	coral metagenome	75944	23
SRR3204456	coral metagenome	134265	93
SRR3204457	coral metagenome	141897	3
SRR3204458	coral metagenome	173278	174
SRR3204459	coral metagenome	85327	200
SRR3204460	coral metagenome	4494	2300
SRR3204461	coral metagenome	4243	2987
SRR3204462	coral metagenome	2857	1812
SRR3204464	coral metagenome	71935	15
SRR3204465	coral metagenome	93487	3
SRR3204466	coral metagenome	70001	8
SRR3204467	coral metagenome	14616	2
SRR3204470	coral metagenome	42433	98
SRR3204471	coral metagenome	10135	5
SRR3204472	coral metagenome	45664	55
SRR3204473	coral metagenome	28464	87
SRR3204474	coral metagenome	89981	44
SRR3204475	coral metagenome	35491	259
SRR3204476	coral metagenome	69731	1
SRR3204477	coral metagenome	59562	8
SRR3204478	coral metagenome	78006	26
SRR3204479	coral metagenome	53948	2
SRR3204480	coral metagenome	70654	126
SRR3204481	coral metagenome	51589	21
SRR3204482	coral metagenome	44436	28
SRR3204486	coral metagenome	63208	24
SRR3204488	coral metagenome	20846	4
SRR3278498	coral metagenome	154157	2
SRR3278508	coral metagenome	131444	14
SRR3278514	coral metagenome	130972	3
SRR3278515	coral metagenome	141118	30
SRR3278521	coral metagenome	105855	22
SRR3278526	coral metagenome	118353	132
SRR3278529	coral metagenome	110733	63
SRR3278531	coral metagenome	132646	102
SRR3278548	coral metagenome	153253	4
SRR3624183	marine metagenome	172797	11
SRR3624191	marine metagenome	100637	37
SRR3624556	marine metagenome	178348	5
SRR3624637	marine metagenome	134542	8
SRR3624643	marine metagenome	107268	55
SRR3632944	marine metagenome	173078	11
SRR3632952	marine metagenome	100535	37
SRR3633023	marine metagenome	150913	2
SRR3633329	marine metagenome	12982	150
SRR3633525	marine metagenome	107244	55
SRR3647522	marine metagenome	51210	4
SRR3647532	marine metagenome	93384	3
SRR3647544	marine metagenome	129737	1
SRR3647547	marine metagenome	96874	7
SRR3647562	marine metagenome	129866	1
SRR3647565	marine metagenome	58691	1
SRR3647577	marine metagenome	63913	1
SRR3647578	marine metagenome	97389	7
SRR4244467	gut metagenome	479848	4
SRR4434881	marine metagenome	22942	3
SRR4434911	marine metagenome	30125	1
SRR4434941	marine metagenome	30174	2
SRR4434992	marine metagenome	21117	3
SRR4435027	marine metagenome	29437	4
SRR4435070	marine metagenome	31721	1
SRR4435101	marine metagenome	19924	1
SRR4435116	marine metagenome	31526	1
SRR4435128	marine metagenome	21572	1
SRR4435153	marine metagenome	23312	1
SRR4435176	marine metagenome	31762	1
SRR4471360	marine metagenome	800	5
SRR4471364	marine metagenome	1956	4
SRR4471379	marine metagenome	1168	1
SRR4471380	marine metagenome	3572	1
SRR4471385	marine metagenome	8535	13
SRR4471397	marine metagenome	2900	5
SRR4471402	marine metagenome	5110	2
SRR4949602	gut metagenome	96177	8
