Origins	Sample-Number	1
Bacteria	964	1
Hyphochytrium catenoides	10	1
Schizothorax zarudnyi	1	1
activated sludge metagenome	2846	2
aquatic metagenome	10493	4
beach sand metagenome	180	1
biofilm metagenome	2953	1
coral metagenome	2795	615
coral reef metagenome	161	29
fish gut metagenome	1000	6
food metagenome	2119	1
gut metagenome	42163	7
hydrothermal vent metagenome	285	1
marine metagenome	37438	126
marine sediment metagenome	3244	1
metagenome	18630	6
mollusc metagenome	157	1
mouse gut metagenome	19703	1
seawater metagenome	3225	27
skin metagenome	1977	47
soil metagenome	67790	5
sponge metagenome	653	2
